AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,AR-0,
2,3,3,4,4,4,2,3,3,4,4,4,2,3,3,4,4,4,2,3,3,4,4,4,2,3,3,4,4,4,2,3,3,4,4,4,2,3,3,4,4,4,2,3,3,4,4,4,2,3,3,4,4,4,2,3,3,4,4,4,2,3,3,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45667.0,46280.0,32132.0,112135.0,88967.0,55461.0,17326.0,54614.0,27337.0,87213.0,107723.0,101339.0,42002.0,26044.0,28105.0,64652.0,101730.0,32904.0,66143.0,63289.0,47843.0,42238.0,78448.0,48443.0,85108.0,40109.0,45712.0,61840.0,76149.0,63313.0,92102.0,26123.0,29482.0,38395.0,38751.0,158394.0,47557.0,109288.0,58575.0,103433.0,27036.0,28921.0,46674.0,48864.0,24228.0,68808.0,85281.0,138979.0,62333.0,21553.0,25980.0,76858.0,38924.0,69325.0,77063.0,85299.0,30084.0,58187.0,91441.0,33702.0,18028.0,45667.0,44841.0,107634.0,
58511.0,85290.0,31137.0,99604.0,91591.0,55811.0,18291.0,47569.0,32864.0,107387.0,112376.0,76798.0,51042.0,28909.0,31382.0,48238.0,59581.0,30109.0,77083.0,45461.0,42527.0,69860.0,55905.0,47593.0,69075.0,37967.0,71339.0,35910.0,90091.0,52903.0,58720.0,77178.0,24477.0,34953.0,48854.0,139310.0,69190.0,132535.0,71963.0,93664.0,26077.0,30170.0,55886.0,48612.0,26163.0,61900.0,52694.0,167156.0,56669.0,22437.0,27424.0,64177.0,36498.0,45768.0,98023.0,84852.0,35541.0,92519.0,28693.0,32989.0,30468.0,45793.0,51835.0,79476.0,
90888.0,60135.0,29117.0,114965.0,92169.0,51290.0,29876.0,59755.0,27229.0,113675.0,129395.0,91625.0,51850.0,29413.0,33139.0,35485.0,72090.0,30354.0,41287.0,109150.0,34810.0,38461.0,62766.0,36702.0,89517.0,32417.0,67292.0,59406.0,114628.0,37404.0,65767.0,78397.0,23687.0,43537.0,43290.0,127710.0,47139.0,130444.0,46232.0,116000.0,26913.0,34608.0,44065.0,44582.0,25603.0,81960.0,81772.0,160003.0,35722.0,28412.0,27432.0,83888.0,36506.0,64006.0,55588.0,43010.0,44796.0,79436.0,28472.0,42166.0,67754.0,47991.0,55144.0,80254.0,
101335.0,84718.0,26004.0,93921.0,108588.0,43302.0,63131.0,52318.0,28836.0,118251.0,187300.0,76006.0,37385.0,29209.0,31403.0,49657.0,63913.0,32601.0,103034.0,62140.0,61128.0,60310.0,87676.0,41788.0,99645.0,48598.0,64366.0,72163.0,95340.0,45044.0,68059.0,112070.0,23957.0,44826.0,46112.0,88131.0,58000.0,90036.0,79627.0,109523.0,26385.0,29573.0,76043.0,67626.0,24741.0,88831.0,94421.0,106777.0,82632.0,25213.0,25092.0,115062.0,47481.0,60235.0,108857.0,110933.0,35126.0,100575.0,102905.0,33677.0,67458.0,49246.0,52335.0,79853.0,
60956.0,81426.0,28324.0,111323.0,69995.0,51540.0,71938.0,43600.0,27087.0,110021.0,168517.0,65698.0,58725.0,33280.0,31642.0,46105.0,113510.0,32863.0,34996.0,114968.0,74710.0,52728.0,53682.0,37649.0,119416.0,62686.0,51986.0,67205.0,112649.0,44143.0,65169.0,43290.0,26549.0,52175.0,50853.0,100105.0,45735.0,99071.0,68365.0,195520.0,35514.0,32762.0,44875.0,71670.0,22813.0,104527.0,91881.0,160924.0,34304.0,28115.0,27837.0,103513.0,48047.0,56845.0,35689.0,87265.0,37965.0,71446.0,30292.0,33759.0,78661.0,44779.0,39964.0,101639.0,
109750.0,75661.0,24258.0,116277.0,97751.0,51312.0,43400.0,52749.0,27087.0,165174.0,110425.0,89752.0,42726.0,32290.0,26075.0,73246.0,77629.0,33917.0,35064.0,122320.0,63798.0,104465.0,60857.0,39984.0,128472.0,43832.0,48908.0,57387.0,117686.0,50689.0,62100.0,25260.0,26888.0,52779.0,43152.0,110883.0,62492.0,131178.0,81380.0,131808.0,26940.0,29642.0,59144.0,51460.0,27419.0,96597.0,85450.0,89181.0,79059.0,26413.0,31623.0,108421.0,46887.0,78678.0,47620.0,91549.0,31652.0,112154.0,30566.0,32025.0,67149.0,53181.0,52858.0,86756.0,
90843.0,70153.0,25028.0,138337.0,63159.0,51564.0,56582.0,43013.0,37709.0,143425.0,140225.0,69480.0,57811.0,36160.0,43388.0,62504.0,110162.0,32937.0,76031.0,135781.0,103975.0,87918.0,82938.0,34939.0,73297.0,37380.0,58228.0,108324.0,122883.0,67731.0,60924.0,65284.0,25759.0,51270.0,51764.0,110713.0,68018.0,115398.0,70768.0,131932.0,27433.0,32899.0,56696.0,47828.0,22826.0,120490.0,95122.0,138793.0,75175.0,27585.0,26210.0,66819.0,39026.0,78758.0,39629.0,76308.0,38135.0,91675.0,49338.0,39358.0,65967.0,50511.0,68710.0,64206.0,
82381.0,100476.0,30665.0,160827.0,151098.0,46082.0,33482.0,57449.0,42736.0,145213.0,149572.0,87640.0,56341.0,37964.0,39955.0,68321.0,150342.0,35530.0,50238.0,140635.0,64283.0,88072.0,70654.0,35945.0,81322.0,34442.0,52881.0,65444.0,122112.0,44120.0,73424.0,38405.0,30115.0,51750.0,44766.0,79553.0,61403.0,107757.0,57937.0,110893.0,27094.0,33942.0,47298.0,41146.0,24538.0,94609.0,79718.0,89705.0,68002.0,25488.0,29232.0,119418.0,35821.0,69224.0,39987.0,94436.0,40775.0,116804.0,31032.0,33134.0,69395.0,51566.0,43603.0,104329.0,
