c3.2xlarge,m3.large,m3.xlarge,pi,tk1,
13615.0,13062.0,14132.0,46618.0,14468.0,
13878.0,13244.0,13855.0,48106.0,17483.0,
14084.0,13101.0,13957.0,42053.0,11882.0,
14301.0,13607.0,14277.0,42639.0,13061.0,
15339.0,13579.0,14299.0,44454.0,10716.0,
15668.0,13852.0,14566.0,48497.0,11365.0,
16733.0,14100.0,14993.0,44300.0,10780.0,
15490.0,14370.0,14845.0,49047.0,13304.0,
16032.0,14577.0,15558.0,48632.0,10672.0,
16915.0,14648.0,15337.0,45536.0,11661.0,
16634.0,14882.0,15750.0,47313.0,14268.0,
18305.0,15143.0,15367.0,46351.0,12050.0,
15782.0,15306.0,16021.0,46007.0,13142.0,
16395.0,15461.0,16391.0,48254.0,12997.0,
16237.0,15743.0,16870.0,46145.0,13124.0,
17476.0,15850.0,17522.0,50130.0,13411.0,
17887.0,16044.0,16855.0,48266.0,13658.0,
17967.0,16301.0,17643.0,44839.0,15884.0,
17017.0,16430.0,16991.0,48786.0,16971.0,
18380.0,16487.0,17125.0,51196.0,15172.0,
18629.0,16926.0,18238.0,50192.0,14877.0,
19632.0,17238.0,18042.0,53599.0,17475.0,
18737.0,16949.0,17827.0,53453.0,14933.0,
18867.0,17364.0,18020.0,49934.0,15198.0,
19849.0,17120.0,18332.0,50835.0,15671.0,
18680.0,17844.0,18670.0,50036.0,13719.0,
18887.0,17788.0,18963.0,50696.0,14418.0,
18931.0,18217.0,19172.0,45691.0,15382.0,
19524.0,18226.0,19224.0,48328.0,14640.0,
20497.0,18323.0,19546.0,49713.0,13690.0,
22006.0,18725.0,19399.0,52656.0,15243.0,
19776.0,18860.0,19697.0,52103.0,14522.0,
20895.0,18830.0,20604.0,51746.0,11924.0,
20480.0,19345.0,20013.0,51332.0,13394.0,
21537.0,19544.0,20303.0,50005.0,17666.0,
20937.0,19373.0,21058.0,47768.0,12524.0,
22948.0,19959.0,20439.0,51849.0,15520.0,
21292.0,20102.0,21204.0,51918.0,15598.0,
21901.0,20302.0,21102.0,55047.0,14990.0,
24092.0,20681.0,21442.0,50394.0,15314.0,
23932.0,20918.0,21592.0,55243.0,15672.0,
22458.0,20632.0,21974.0,52009.0,17409.0,
23484.0,20956.0,22010.0,50287.0,12371.0,
24823.0,21265.0,23005.0,52419.0,17226.0,
24632.0,21457.0,23258.0,52790.0,19734.0,
26112.0,22026.0,22794.0,49899.0,16404.0,
23525.0,22316.0,22766.0,53034.0,16031.0,
28054.0,22426.0,23186.0,52847.0,15710.0,
26634.0,22158.0,23665.0,55702.0,15954.0,
26284.0,22619.0,23656.0,51862.0,16906.0,
26889.0,22557.0,23673.0,59350.0,14284.0,
27532.0,22588.0,23699.0,54417.0,14091.0,
27223.0,22570.0,24620.0,55091.0,18983.0,
27465.0,23066.0,24549.0,56397.0,18753.0,
25430.0,23486.0,24394.0,52949.0,14846.0,
26386.0,23718.0,24236.0,53772.0,20304.0,
25539.0,23879.0,24729.0,57897.0,16687.0,
24835.0,24252.0,25254.0,54515.0,20375.0,
26500.0,24264.0,25368.0,56891.0,19867.0,
26033.0,24697.0,25598.0,58030.0,20956.0,
29354.0,24865.0,25466.0,57210.0,15605.0,
25990.0,25037.0,25981.0,54658.0,15811.0,
26900.0,25399.0,26055.0,55392.0,17061.0,
27074.0,25692.0,26308.0,57717.0,18050.0,
26514.0,25665.0,27297.0,55259.0,16982.0,
27048.0,26432.0,26881.0,52687.0,19019.0,
29373.0,25906.0,27004.0,55329.0,17971.0,
29820.0,26548.0,26885.0,56471.0,20240.0,
30069.0,26181.0,27842.0,57130.0,16416.0,
31020.0,25941.0,27466.0,58704.0,15346.0,
30783.0,26591.0,27192.0,57775.0,17938.0,
28760.0,26721.0,28192.0,58568.0,18966.0,
29925.0,27113.0,28431.0,57789.0,14191.0,
29866.0,27933.0,28892.0,59217.0,23395.0,
29455.0,27544.0,28795.0,59533.0,18433.0,
30060.0,27618.0,28923.0,60230.0,16227.0,
32110.0,28104.0,29042.0,58671.0,20290.0,
30000.0,27876.0,29509.0,61213.0,18767.0,
34222.0,28407.0,30422.0,62657.0,16764.0,
